title,date,creators,source,subjects,source_url,trove_url
Transcript of doorstop interview: Canberra: 31 January 2014: no illegal boat arrivals for 40 days; Operation Sovereign Borders; Senate inquiry; asylum seeker claims,2014-01-31,"Morrison, Scott",MINISTER FOR IMMIGRATION AND BORDER PROTECTION,no illegal boat arrivals for 40 days; Operation Sovereign Borders; Senate inquiry; asylum seeker claims,http://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22media/pressrel/3083327%22,"http://trove.nla.gov.au/version/211403640
"
"Transcript of joint press conference: Parliament House, Canberra: 27 June 2012: asylum seeker boat tragedies; border protection policies",2012-06-27,"Abbott, Tony",LEADER OF THE OPPOSITION,asylum seeker boat tragedies; border protection policies,http://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22media/pressrel/1742688%22,"http://trove.nla.gov.au/version/211375655
"
"Transcript of joint press conference: Parliament House, Canberra: 27 June 2012: asylum seeker boat tragedies; border protection policies",2012-06-27,"Abbott, Tony",LEADER OF THE OPPOSITION,asylum seeker boat tragedies; border protection policies,http://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22media/pressrel/2116919%22,"http://trove.nla.gov.au/version/211375693
"
"Transcript of joint press conference: Parliament House, Canberra: 27 June 2012: asylum seeker boat tragedies; border protection policies",2012-06-27,"Morrison, Scott","Office of MORRISON, SCOTT, MP",asylum seeker boat tragedies; border protection policies,http://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22media/pressrel/2116920%22,"http://trove.nla.gov.au/version/211375656
"
"Transcript of joint press conference: Parliament House, Canberra: 27 June 2012: asylum seeker boat tragedies; border protection policies",2012-06-27,"Morrison, Scott",SHADOW MINISTER FOR IMMIGRATION,asylum seeker boat tragedies; border protection policies,http://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22media/pressrel/1742690%22,"http://trove.nla.gov.au/version/211375694
"
Transcript of doorstop interview: Sydney: 16 October 2012: Tony Abbott's failure to discuss turn backs policy with Indonesia; boat arrivals; asylum seeker processing; independent reviewer for adverse security assessments; Sri Lanka; Refugee Convention; Nauru; Manus Island; Malaysia arrangement; review tribunals; service provisions,2012-10-16,"Bowen, Chris",MINISTER FOR IMMIGRATION AND CITIZENSHIP,Tony Abbott's failure to discuss turn backs policy with Indonesia; boat arrivals; asylum seeker processing; independent reviewer for adverse security assessments; Sri Lanka; Refugee Convention; Nauru; Manus Island; Malaysia arrangement; review tribunals; service provisions,http://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22media/pressrel/1981859%22,"http://trove.nla.gov.au/version/211383563
"
Transcript of press conference: Sydney: 2 September 2013: asylum seeker policy; Singleton; PolitiFact Pants On Fire rating on the Coalition's boat buyback policy,2013-09-02,"Burke, Tony",MINISTER FOR IMMIGRATION AND CITIZENSHIP,asylum seeker policy; Singleton; PolitiFact Pants On Fire rating on the Coalition's boat buyback policy,http://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22media/pressrel/2705228%22,"http://trove.nla.gov.au/version/211436776
"
"Transcript of doorstop interview: Davidson, Sydney: 23 June 2012: World Firefighter Games; asylum seeker boat tragedy; Black Caviar; Rio+20 Earth Summit; Peter Slipper",2012-06-23,"Abbott, Tony",LEADER OF THE OPPOSITION,World Firefighter Games; asylum seeker boat tragedy; Black Caviar; Rio+20 Earth Summit; Peter Slipper,http://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22media/pressrel/1740523%22,"http://trove.nla.gov.au/version/211375529
"
"Transcript of press conference: Jakarta, Indonesia: 20 August 2013: special conference on the irregular movement of people in Jakarta; asylum seeker vessel rescue",2013-08-20,"Burke, Tony",MINISTER FOR IMMIGRATION AND CITIZENSHIP,special conference on the irregular movement of people in Jakarta; asylum seeker vessel rescue,http://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22media/pressrel/2676172%22,"http://trove.nla.gov.au/version/211399204
"
"Transcript of press conference: Parliament House, Canberra: 9 July 2013: asylum seeker policies; increased Indonesia-Australia co-operation on people smugglers and corruption; the latest Newspoll",2013-07-09,"Burke, Tony","MINISTER FOR IMMIGRATION, MULTICULTURAL AFFAIRS AND CITIZENSHIP",asylum seeker policies; increased Indonesia-Australia co-operation on people smugglers and corruption; the latest Newspoll,http://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22media/pressrel/2579135%22,"http://trove.nla.gov.au/version/211396865
"
